"","names","org_prices","d_price","ratings"
"1","YHA - Blue 100% Cotton Regular Fit Men's Casual Shirt ( Pack of 1 )","Rs. 1,799","Rs.  419","(46)"
"2","Gritstones - Indigo Cotton Blend Regular Fit Men's Casual Shirt ( Pack of 1 )","Rs. 1,699","Rs.  399","(4)"
"3","UrbanMark - Navy Blue 100% Cotton Regular Fit Men's Casual Shirt ( Pack of 1 )","Rs. 1,399","Rs.  599","(12)"
"4","YHA - Brown Cotton Regular Fit Men's Casual Shirt ( Pack of 1 )","Rs. 1,799","Rs.  419","(85)"
"5","MAJESTIC MAN - Pink Cotton Slim Fit Men's Casual Shirt ( Pack of 1 )","Rs. 1,499","Rs.  489","(13)"
"6","Gritstones - Olive Cotton Blend Regular Fit Men's Casual Shirt ( Pack of 1 )","Rs. 1,999","Rs.  399","(63)"
"7","UrbanMark - White Cotton Regular Fit Men's Casual Shirt ( Pack of 1 )","Rs. 1,199","Rs.  599","(15)"
"8","UrbanMark - Blue 100% Cotton Regular Fit Men's Casual Shirt ( Pack of 1 )","Rs. 1,599","Rs.  699","(2)"
"9","Solemio 100 Percent Cotton Blue Solids Formal Shirt","Rs. 1,445","Rs.  249","(1)"
"10","NUEVOSPORTA - Blue Cotton Blend Slim Fit Men's Casual Shirt ( Pack of 1 )","Rs. 1,599","Rs.  339","(100)"
"11","Life Roads - Maroon Cotton Slim Fit Men's Casual Shirt (Pack of 1 )","Rs. 1,999","Rs.  575","(138)"
"12","YHA -  Black Cotton Blend Regular Fit Men's Casual Shirt (Pack of 1)","Rs. 1,799","Rs.  419","(30)"
"13","Vida Loca - Royal Blue Cotton Blend Slim Fit Men's Casual Shirt ( Pack of 1 )","Rs. 2,499","Rs.  419","(16)"
"14","Life Roads - Blue Cotton Slim Fit Men's Casual Shirt (Pack of 1 )","Rs. 1,999","Rs.  575","(148)"
"15","UrbanMark - Blue 100% Cotton Slim Fit Men's Casual Shirt ( Pack of 1 )","Rs. 1,399","Rs.  599","(1)"
"16","K-LARA - Blue Denim Slim Fit Men's Casual Shirt ( Pack of 1 )","Rs. 1,750","Rs.  775","(2)"
"17","UrbanMark - White Cotton Regular Fit Men's Casual Shirt ( Pack of 1 )","Rs. 1,399","Rs.  599","(12)"
"18","DESHBANDHU DBK - Multicolor Cotton Regular Fit Men's Formal Shirt (Pack of 2)","Rs. 1,499","Rs.  546","(99)"
"19","YHA - Peach Cotton Blend Regular Fit Men's Casual Shirt ( Pack of 1 )","Rs. 1,799","Rs.  419","(17)"
"20","Paul Street - Olive Cotton Blend Slim Fit Men's Casual Shirt ( Pack of 1 )","Rs. 1,645","Rs.  775","(2)"
